"TITLE"|"AUTHOR"|"PACE"|"LENGTH"|"PLOT_COMPLEXITY"|"THEMES"|"MOOD"
"Skateboards, Magic, and Shamrocks"|"Dana Fraedrich"|""|""|""|""|""
"Bound by Duty"|"Stormy Smith"|""|""|""|""|""
"Catalogue of the Universe"|"Margaret Mahy, Darren Hopes"|"8"|"7"|"9"|"6|7"|"7"
"A Safe Place With You"|"Csar L. Baquerizo"|""|""|""|""|""
"Soul-Mate"|"Anna Santos"|""|""|""|""|""
"Nerd Of The Year"|"Supraja I.R."|""|""|""|""|""
"The Declaration of Independence -  Complete Series I"|"Joseph Max Lewis, John V. Amodeo, Amber Schamel Lemus, Murray Pura"|""|""|""|""|""
"Remake"|"Ilima Todd"|""|""|""|""|""
"Natalie's Choices"|"Linda    Robinson"|""|""|""|""|""
"Prisoners"|"Tui T. Sutherland"|""|""|""|""|""
"Frontier Incursion"|"Leonie Rogers"|""|""|""|""|""
"Loderunner"|"Christina Engela"|""|""|""|""|""
"Being a Witch, and Other Things I Didn't Ask For"|"Sara Pascoe"|""|""|""|""|""
"By Persons Unknown - Canadian Government Conspiracy!"|"Terry Wallice"|""|""|""|""|""
"Ninja Girl"|"Cookie O'Gorman"|""|""|""|""|""
"Blue Bottle Tree"|"Beaird Glover"|""|""|""|""|""
"Intent"|"Krista Wagner"|""|""|""|""|""
"War and Chess"|"Helen M. Pugsley"|"1"|"4"|"3"|"5|2"|"2"
"David's Story"|"Stig Dalager"|""|""|""|""|""
"The Prince with Amnesia"|"Emily  Evans"|""|""|""|""|""
"Ravens Deep"|"Jane  Jordan"|""|""|""|""|""
"Cigarettes & Wine"|"J.E. Sumerau"|""|""|""|""|""
"Everyone Has A Story"|"Savi Sharma"|""|""|""|""|""
"Mixing It"|"Rosemary Hayes"|""|""|""|""|""
"Be Careful What You Joust For"|"Ryan Hauge, Ivy Smoak"|""|""|""|""|""
"Jason"|"Felicity  Jones"|""|""|""|""|""
"The Lost Savior"|"Siobhan Davis"|""|""|""|""|""
"Achieve Anything in Just One Year: Be Inspired Daily to Live Your Dreams and Accomplish Your Goals"|"Jason Harvey"|""|""|""|""|""
"The Heirs of Earth"|"Daniel Arenson"|""|""|""|""|""
"Secret: ...know more"|"Anita S.J."|""|""|""|""|""
"Ocean World Short Story Collection"|"Ian Allan, Ming Wei"|""|""|""|""|""
"Hollow Earth"|"John Barrowman, Carole E. Barrowman"|""|""|""|""|""
"Babysitting The Bad Boy"|"exxxyR"|""|""|""|""|""
"The Rise of the Warrior"|"Dedra L. Stevenson"|""|""|""|""|""
"Beauty's Curse"|"C.S.  Johnson"|""|""|""|""|""
"The Time Between: Love, loyalty and betrayal in Nazi-occupied Amsterdam"|"Bryna Hellmann-Gillson"|""|""|""|""|""
"365 Daily Inspirational & Poetical Quotes of Rodolfo Martin Vitangcol: For the year 2019 [Volume One]"|"Rodolfo Martin Vitangcol"|""|""|""|""|""
"The Chronicles Of Agartha"|"Isaac Michaan, Sherif Guirguis"|""|""|""|""|""
"The League of Ascenders: Journey of the Fledglings"|"Spring Dalton, Spring Hellams"|"1"|"4"|"3"|"5|2|4|3"|"2"
"School and My Bully Experience"|"Frank Joseph Minichetti"|""|""|""|""|""
"One Positive Thought"|"Kashish Kalita"|""|""|""|""|""
"Always Red"|"Isabelle Ronin"|""|""|""|""|""
"Apple and Rain"|"Sarah Crossan"|""|""|""|""|""
"The Mystery of Maple Creek"|"Keefe R.D."|""|""|""|""|""
"Daughters of Awen: A Battle of Gods and Kingdoms"|"Summer H. Hanford"|""|""|""|""|""
"The Sniggard's Revenge: A Fantasy Adventure"|"Jeff  Chapman"|""|""|""|""|""
"Fire of the Blood"|"Jasmina Coric"|""|""|""|""|""
"The Handmaiden of Death"|"Sarah Stafford"|""|""|""|""|""
"Genius Trilogy boxed set"|"Catherine Jinks"|""|""|""|""|""
"Tsunami Girl"|"Julian Sedgwick, Chie Kutsuwada"|""|""|""|""|""
"The Prince & the Apocalypse"|"Kara McDowell"|""|""|""|""|""
"Caroline's Purpose"|"Erica Zaborac"|""|""|""|""|""
"Ocean's Echo"|"Everina Maxwell"|""|""|""|""|""
"Edin"|"Lily Mayne"|""|""|""|""|""
"Under the Heavens"|"Ruth  Fox"|""|""|""|""|""
"When We Had Wings: The Gripping Story of an Orphan in Janusz Korczak's Orphanage. A Historical Novel"|"Tami Shem-Tov"|""|""|""|""|""
"Selfie"|"Allayne L. Webster"|""|""|""|""|""
"Dance on My Grave"|"Aidan Chambers"|""|""|""|""|""
"Cure For Tmj, Bruxing And Tooth Grinding: Blue Heron Health News"|"Christian G."|""|""|""|""|""
"This Winter"|"Alice Oseman"|""|""|""|""|""
"Lights, Camera, Disaster"|"Erin Dionne"|""|""|""|""|""
"A Thousand Steps into Night"|"Traci Chee"|""|""|""|""|""
"Searching for A Starry Night"|"Christine Verstraete"|""|""|""|""|""
"Night Calls"|"Katharine Eliska Kimbriel"|""|""|""|""|""
"But We Are Not of Earth"|"Jean E. Karl"|""|""|""|""|""
"The Duplicate"|"William Sleator"|""|""|""|""|""
"As the Waltz Was Ending"|"Emma Macalik Butterworth"|""|""|""|""|""
"Quest for the Simurgh - Faizah's Destiny"|"Marva Dasef"|""|""|""|""|""
"Anonymity Jones"|"James Roy"|""|""|""|""|""
"Desire Everlasting"|"Karen Fuller"|""|""|""|""|""
"Compromise of the Soul"|"Lissette E. Manning"|""|""|""|""|""
"Drawing the Circle"|"Jason Beineke"|""|""|""|""|""
"Bitterroot Crossing"|"Tess Oliver"|""|""|""|""|""
"The Adventures of Anna of Waverly Manor"|"Jack Sorenson"|""|""|""|""|""
"Vissi d'arte - Love and Music"|"Joanna Stephen-Ward"|""|""|""|""|""
"A Proscriptive Relationship"|"Jordan Lynde"|""|""|""|""|""
"Sara's Face"|"Melvin Burgess"|""|""|""|""|""
"Manhood"|"Steve Biddulph"|""|""|""|""|""
"The Blessed"|"Tonya Hurley"|""|""|""|""|""
"King of the Screwups"|"K.L. Going"|"8"|"6"|"7"|"5|6"|"6"
"Haunting Thelma Thimblewhistle"|"Solomon J. Inkwell, Fiction Factory Incorporated"|""|""|""|""|""
"Awake in the Mad World"|"Damon Ferrell Marbut"|""|""|""|""|""
"Sky Song"|"Sharon Sant"|""|""|""|""|""
"Han Solo at Stars' End"|"Brian Daley"|""|""|""|""|""
"Demons Not Included"|"Cheyenne McCray"|""|""|""|""|""
"The Tamarack Tree"|"Patricia Clapp"|""|""|""|""|""
"Darius and the Vanilla Funk"|"Phil Wohl"|""|""|""|""|""
"Octavian's Undoing"|"Airicka Phoenix"|""|""|""|""|""
"Nerdlandia"|"Gary Soto"|""|""|""|""|""
"Ghostlight"|"Marion Zimmer Bradley"|""|""|""|""|""
"A Faerie Fated Forever"|"Mary Anne Graham"|""|""|""|""|""
"Bone House"|"Betsy Tobin"|"1"|"4"|"3"|"5|2"|"2"
"100 Days and 99 Nights"|"Alan Madison"|""|""|""|""|""
"Aire"|"Lena Goldfinch"|""|""|""|""|""
"Neighbours + Playschool"|"Colin Thompson"|""|""|""|""|""
"Post Omerican Easter"|"Ilyan Kei Lavanway"|""|""|""|""|""
"Arcana"|"Jessica Leake"|""|""|""|""|""
"Narcissus Resists"|"Matthew Hittinger"|""|""|""|""|""
"The Sea Wall"|"Herma Briffault, Marguerite Duras"|""|""|""|""|""
"In This Moment"|"Autumn Doughton"|"8"|"7"|"9"|"9|7"|"7"
"A and D"|"Louisse Carreon"|""|""|""|""|""
"Under a Blood Moon"|"Carrigan Richards"|""|""|""|""|""
"Where Did I Come From?"|"Pam Funke"|""|""|""|""|""
"Mystery at Shadow Lake"|"B.L. Hoffman"|""|""|""|""|""
"So Far from Skye"|"Judith O'Neill"|""|""|""|""|""
"Maleficent"|"Scott A. Piehl, Elizabeth Rudnick"|""|""|""|""|""
"The Word Changers"|"Ashlee Willis"|"1"|"4"|"3"|"5|2"|"2"
"Racing the Moon"|"Michelle  Morgan"|""|""|""|""|""
"She's My Ride Home"|"Jackie Bushore"|""|""|""|""|""
"Joshua's Island"|"Patrick Hodges"|""|""|""|""|""
"Asgard Stories: Tales from Norse Mythology"|"Mary H. Foster"|""|""|""|""|""
"Curious Incident of the Dog in the Nightdress"|"Paul        Howard, Ross O'Carroll-Kelly"|""|""|""|""|""
"All Time High"|"Paul Camster"|""|""|""|""|""
"Destiny's Consent: The Gypsy's Song"|"Laura Shepard Townsend"|""|""|""|""|""
"Waiting: A Nonbeliever's Higher Power"|"Marya Hornbacher"|""|""|""|""|""
"Sweet Tea"|"Sonya Ray"|""|""|""|""|""
"If I Could Be Like Jennifer Taylor"|"Barbara Ehrentreu"|""|""|""|""|""
"Tesseracts Fifteen: A Case of Quite Curious Tales"|"Susan MacGregor, Julie E. Czerneda"|""|""|""|""|""
"Connected"|"Kat Stiles"|""|""|""|""|""
"The Steps Up the Chimney"|"William Corlett"|""|""|""|""|""
"Starfish Girl"|"Athena Villaverde"|""|""|""|""|""
"The Empath, the Warrior & the Wind Rider"|"Jeff Fuell"|""|""|""|""|""
"She Is Not Invisible"|"Sedgwick Marcus"|"1"|"2"|"3"|"4|5"|"5"
"It All Started With An Apple"|"Ashley Winters"|""|""|""|""|""
"Artificial Absolutes"|"Mary Fan"|""|""|""|""|""
"Brian Boru - Freedom Within The Heart"|"Mark Mahon"|""|""|""|""|""
"Saven Deception"|"Siobhan Davis"|"4"|"3"|"5"|"2|4"|"4"
"Road Trip to Love"|"Nylla Camphry"|""|""|""|""|""
"Fern Verdant and the Silver Rose"|"Diana Leszczynski"|""|""|""|""|""
"Spies"|"Michael Frayn"|"8"|"7"|"9"|"6|7"|"7"
"Thomas Jefferson"|"Murray Pura"|""|""|""|""|""
"Erik and the Gods: Journey to Valhalla"|"Lars-Henrik Olsen"|""|""|""|""|""
"Life-Changing Love"|"Theresa Linden"|""|""|""|""|""
"Paranormal Oddities & Government Conspiracies"|"Katie Christopher"|""|""|""|""|""
"A Sibling in Always"|"Ernest Gordon Taulbee"|""|""|""|""|""
"Shadow Fall"|"Audrey  Grey"|""|""|""|""|""
"Deliver Her"|"Patricia Perry Donovan"|""|""|""|""|""
"Three Blind Dates"|"Meghan Quinn"|""|""|""|""|""
"College Girl Cookbook"|"Felicity  Jones"|""|""|""|""|""
"The Maude Reed Tale"|"Norah Lofts"|""|""|""|""|""
"Sam's Theory"|"Sarah Mendivel"|""|""|""|""|""
"P.S. I Hate You"|"Winter Renshaw"|""|""|""|""|""
"That Feeling When"|"S.M.   James"|""|""|""|""|""
"The Dawn of Redemption"|"Dedra L. Stevenson"|""|""|""|""|""
"Rise of the Sea Witch"|"Tiffany Marz, Stacey Rourke"|""|""|""|""|""
"Jesus Must Rise!"|"Rodolfo Martin Vitangcol"|""|""|""|""|""
"Chasing Light - Notes on Creativity"|"Tim Stevenson"|""|""|""|""|""
"A Thousand Paths to Tranquility"|"David  Baird"|""|""|""|""|""
"The Legend of the Avatars: The Created World"|"Tutmozis (Mrk Jusztin)"|""|""|""|""|""
"Chess Club Dropout"|"Lux Carmine"|""|""|""|""|""
"A Field Guide to High School"|"Marissa Walsh"|""|""|""|""|""
"Transcender: First-Timer"|"Vicky Savage"|""|""|""|""|""
"Street Love"|"Walter Dean Myers"|"8"|"7"|"9"|"8"|""
"We Contain Multitudes"|"Sarah Henstra"|""|""|""|""|""
"Dead Elite"|"Keefe R.D."|""|""|""|""|""
"Neverwraith"|"Shakir Rashaan"|""|""|""|""|""
"Born at Dawn"|"Christina  Davis"|""|""|""|""|""
"Behind These Hands"|"Linda Vigen Phillips"|""|""|""|""|""
"Answers from Heaven for Soul and Self"|"The Saint"|""|""|""|""|""
"Salmek's Journey to Shambhala"|"Maria Grima"|""|""|""|""|""
"How to Survive Your Murder"|"Danielle Valentine"|""|""|""|""|""
"Crossing Jordan"|"Suzy Schultz, Adrian Fogelin"|""|""|""|""|""
"A Face for Picasso: Coming of Age with Crouzon Syndrome"|"Ariel Henley"|"1"|"8"|"7"|"9|6|5|4|10|3|2"|"2"
"The Apprentice of Buchenwald: The True Story of the Teenage Boy Who Sabotaged Hitlers War Machine"|"Oren Schneider"|""|""|""|""|""
"Dancing Barefoot"|"Alice Boyle"|""|""|""|""|""
"With the Indians in the Rockies"|"James Willard Schultz"|"1"|"4"|"3"|"2|5"|"5"
"Hearts Forged in Dragon Fire"|"Erica Hollis"|""|""|""|""|""
"Outcasts"|"Josephine Angelini"|""|""|""|""|""
"The Stop Snoring And Sleep Apnea Program: Blue Heron Health News"|"Christian G."|""|""|""|""|""
"The Day I Became an Autodidact and the Advice, Adventures, and Acrimonies That Befell Me Thereafter"|"Kendall Hailey"|""|""|""|""|""
"Skin Hunger"|"Sheila Rayyan, Kathleen Duey"|""|""|""|""|""
"Locker Shock"|"Pam Ripling"|""|""|""|""|""
"The Sky Is Falling"|"Kit Pearson"|""|""|""|""|""
"Crossing to Paradise"|"Kevin Crossley-Holland"|"1"|"2"|"3"|"4|5"|"5"
"Watermark"|"Penelope Todd"|""|""|""|""|""
"Elsie Dinsmore"|"Martha Finley"|""|""|""|""|""
"Vampire of My Dreams"|"Christina Moss, Brad Fraunfelter"|""|""|""|""|""
"The Big Book of Girl Stuff"|"Bart King, Jennifer Kalis"|"1"|"2"|"3"|"4|5"|"5"
"When the Sirens Wailed"|"Noel Streatfeild, Judith Gwyn Brown"|"1"|"4"|"3"|"2|5"|"5"
"Wicked Girls"|"Stephanie Hemphill"|""|""|""|""|""
"Becoming NADIA"|"Cyrus Keith"|""|""|""|""|""
"Pale Queen's Courtyard"|"Marcin Wrona"|""|""|""|""|""
"And Then Things Fall Apart"|"Arlaina Tibensky"|""|""|""|""|""
"The Charm"|"Alana Siegel Mag"|""|""|""|""|""
"Tristan and Iseult"|"Rosemary Sutcliff"|"1"|"8"|"7"|"9|6|5|4|3|2"|"2"
"Power Trip"|"Jeff Thomason"|""|""|""|""|""
"The Way of Nacor"|"Jeff W. Horton"|""|""|""|""|""
"The Halfmen of O"|"Maurice Gee"|""|""|""|""|""
"Droplets:  A Short Story Collection"|"Scott A. Johnson"|""|""|""|""|""
"Journey of Hope"|"Victoria Murata"|""|""|""|""|""
"The League of Delphi"|"Chris Everheart"|""|""|""|""|""
"A Beautiful Struggle"|"Lilliana Anderson"|""|""|""|""|""
"Lone Cowboy: My Life Story"|"Will James"|"1"|"4"|"3"|"5|2"|"2"
"A Taste of Life and Love in Australia"|"Margaret Lynette Sharp"|""|""|""|""|""
"After Isaac"|"Avra Wing"|""|""|""|""|""
"A Healing Heart"|"Melissa A. Hanson"|""|""|""|""|""
"The Devil Walks"|"Anne Fine"|""|""|""|""|""
"Jake Carter and the Nightmare Gallery"|"Kevin M. Folliard"|""|""|""|""|""
"Tamora Pierce"|"Kyle Zimmer, Donna Dailey"|""|""|""|""|""
"Capital Girls"|"Ella Monroe"|""|""|""|""|""
"Falling to Ash"|"Karen Mahoney"|""|""|""|""|""
"Heart of a Samurai"|"Margi Preus"|"1"|"2"|"3"|"4|5|3|2|1"|"4"
"I Need You More Than I Love You and I Love You to Bits"|"Tara Chace, Gunnar Ardelius"|""|""|""|""|""
"Ethan Between Us"|"Anna Myers"|""|""|""|""|""
"Deep Down Popular"|"Phoebe Stone"|""|""|""|""|""
"Storm Surfer"|"Jake Maddox, Lisa Trumbauer"|""|""|""|""|""
"The Smile"|"Donna Jo Napoli"|""|""|""|""|""
"Through the Eyes of a Child"|"Pam Funke"|""|""|""|""|""
"Lightman"|"John Blandly"|""|""|""|""|""
"For  Love of an Armadillo"|"Didi Menendez, Jeremy Baum"|""|""|""|""|""
"I'm Your Bully"|"Andrea Tyse"|""|""|""|""|""
"Meta"|"Tom   Reynolds"|""|""|""|""|""
"Butterflies in May"|"Karen Hart"|""|""|""|""|""
"Dreamscape: Saving Alex"|"Kirstin Pulioff"|""|""|""|""|""
"Sebastian"|"Anne Bishop"|""|""|""|""|""
"Mortis"|"Hannah  Cobb"|""|""|""|""|""
"Alcatraz The Lost Pearl"|"Aleshia Robinson"|""|""|""|""|""
"Raven Summer"|"David Almond"|""|""|""|""|""
"Frosted Blood"|"Larry Pellitteri"|""|""|""|""|""
"Dirty London"|"Kelley York"|""|""|""|""|""
"Freshman Fourteen"|"Beth Rodgers"|""|""|""|""|""
"The Miseducation Years"|"Paul        Howard, Ross O'Carroll-Kelly"|""|""|""|""|""
"Christopher"|"David Athey"|""|""|""|""|""
"True Love Waits"|"Mark DeVries"|""|""|""|""|""
"Glory Season"|"David Brin"|""|""|""|""|""
"What You Left Behind"|"Jessica Verdi"|""|""|""|""|""
"The Rule of Three"|"Eric Walters"|"8"|"7"|"6"|"7"|"7"
"Forever Night Stand"|"Ysa Arcangel, _silverdoe_"|""|""|""|""|""
"Born of an Angel"|"Lisa Glenn"|""|""|""|""|""
"Kingsblood"|"J.S. Harris"|""|""|""|""|""
"Where I'd Like to Be"|"Frances O'Roark Dowell"|"8"|"7"|"9"|"8"|""
"The First Queen of England: The Myth of ""Bloody Mary"""|"Linda Porter"|""|""|""|""|""
"The Captain's Coin"|"John V. Amodeo"|""|""|""|""|""
"The Alchemist's Cat"|"Robin Jarvis"|""|""|""|""|""
"Train I Ride"|"Paul   Mosier"|""|""|""|""|""
"Cautionary Tales"|"Felicity  Jones"|""|""|""|""|""
"Frankie B - The Ghost Ship"|"Andrene Low"|""|""|""|""|""
"Secret Sanctuary"|"Jeff Fuell"|""|""|""|""|""
"I'm Not Missing"|"Carrie Fountain"|"8"|"7"|"9"|"8"|""
"Famous by Default"|"Tiffany Marz, M.K. Harkins"|""|""|""|""|""
"The Whale Kingdom Quest"|"Ian Allan, Ming Wei"|""|""|""|""|""
"An A - Z of Looney Limericks"|"Linda Koperski, Bernie Morris"|""|""|""|""|""
"The Bad Boy's Girl"|"Blair Holden"|""|""|""|""|""
"Paul Destroyed Jesus"|"Rodolfo Martin Vitangcol"|""|""|""|""|""
"The Way to Game the Walk of Shame"|"Jenn P. Nguyen"|""|""|""|""|""
"Sick Boy"|"Sean Waller"|""|""|""|""|""
"The Window"|"Amelia Brunskill"|""|""|""|""|""
"One True Way"|"Shannon Hitchcock"|""|""|""|""|""
"Earth Is Room Enough"|"Paul Lehr, Isaac Asimov"|""|""|""|""|""
"Hurricane Summer"|"Asha Ashanti Bromfield"|""|""|""|""|""
"Living Rough"|"Cristy Watson"|""|""|""|""|""
"The Boy I Am"|"K.L. Kettle"|""|""|""|""|""
"Dear Hero"|"Hope Bolinger, Alyssa Roat"|"8"|"7"|"9"|"6|8"|"8"
"Mr. Wrong Number"|"Lynn Painter"|"8"|"7"|"6"|"7|6"|"6"
"Early Years"|"TurtleMe"|""|""|""|""|""
"Salmek's Crystal"|"Maria Grima"|""|""|""|""|""
"Rolf in the Woods: The Adventures of a Boy Scout With Indian Quonab and Little Dog Skookum"|"Ernest Thompson Seton"|""|""|""|""|""
"The Erectile Dysfunction Master: Blue Heron Health News"|"Christian G."|""|""|""|""|""
"Junior High"|"Sara Quin, Tegan Quin, Tillie Walden"|""|""|""|""|""
"Little Thieves"|"Margaret  Owen"|""|""|""|""|""
"The Hermit Thrush Sings"|"Susan    Butler"|""|""|""|""|""
"Trails Of The Dime Novel"|"Terry W. Burns"|""|""|""|""|""
"Enter Three Witches"|"Caroline B. Cooney"|""|""|""|""|""
"Leyla's Locket"|"Paige Jackson"|""|""|""|""|""
"We Are Quiet, We Are Loud: The Best Young Writers and Artists In America"|"Andrew Lippman, Frances Wright, Lauren Stokes, Anne Reece, Corry Wallace, Christine Kwon, Connor Gannon, Jacob Nelson, Ashley Chow, Justin Beltz, Rosetta Young, Christie  Maurer, Samuel Lansey, Elizabeth Elison, Julie Rawe, Glynnis Ritchie, Bill Kephart, Rebecca McCarthy, Erin Weeks, Marguerite Weisman, Calvin Brown, Suzanna Yang, Amy Miller, Frankie Romano, Nicole Mangione, Anna Chandler, Alexander Foreman, Jillian Ehrisman, David Levithan, Wen Lei, Audrey Walls, Jasmine Hu, Anne Strother, Denise Rickman, Sarah Robbin, Mariya Karimjee, Jesi Egan, Emma Cline, Phoebe Rusch, Yue Pang, Hannah Pulit, Temnete Sebhatu, Briana Severson, Laura Hinkle, Ai Yasufuku, Tara Venkatraman, Blair Hurley, Julia Harris"|""|""|""|""|""
"Ihaka and the Summer Wandering"|"Joanna Orwin"|""|""|""|""|""
"Killing Britney"|"Sean Olin"|""|""|""|""|""
"Joshua's Family"|"Joseph F. Girzone"|""|""|""|""|""
"Book of Names"|"John Peel"|""|""|""|""|""
"Smoke and Magic"|"Patti Larsen"|""|""|""|""|""
"Be Mine Tonight"|"Kathryn Smith"|""|""|""|""|""
"Heart's Delight"|"Per Nilsson, Tara Chace"|""|""|""|""|""
"The Justice Riders"|"Aaron Norris, Chuck Norris, Tim Grayem, Ken Abraham"|""|""|""|""|""
"Hello God"|"Moya Simons, Lisa Coutts"|""|""|""|""|""
"The Inquisitor"|"Mark Allen   Smith"|""|""|""|""|""
"Zombie Bashing Rejects (So it Begins"|"Lucille Wiekel"|""|""|""|""|""
"Good Girls"|"Laura Ruby"|""|""|""|""|""
"The Visconti House"|"Elsbeth Edgar"|"8"|"7"|"9"|"6|8"|"8"
"An Offer He Can't Refuse"|"Theresa Ragan"|""|""|""|""|""
"Amish Love Letters"|"Samantha Bayarr"|""|""|""|""|""
"American Goddesses"|"Gary R. Henry"|"1"|"2"|"3"|"4|5"|"5"
"666: The Number of the Beast"|"Heather Graham, T.E.D. Klein, Peter Abrahams, Sarah Hines Stephens, Amelia Atwater-Rhodes, Joyce Carol Oates, Christopher Pike, Bentley Little, Laurie Faria Stolarz, Robin Wasserman, David Moody, Jane B. Mason, Joshua Gee, Ellen Schreiber, Melissa de la Cruz, Isobel Bird, P.D. Cacek, Chet Williamson"|"666"|""|""|""|""
"Tietam Brown"|"Mick Foley"|"8"|"7"|"6"|"9|7"|"7"
"Road to Tater Hill"|"Edith M. Hemingway"|""|""|""|""|""
"The Blood She Betrayed"|"Cheryse Durrant"|""|""|""|""|""
