"TITLE"|"AUTHOR"|"PACE"|"LENGTH"|"PLOT_COMPLEXITY"|"THEMES"|"MOOD"
"Annie & Snoopy"|"S.J. Walter"|""|""|""|""|""
"Boy 23"|"Jim Carrington"|""|""|""|""|""
"Chasing Perfect"|"Susan Mallery"|"8"|"7"|"6"|"7|8"|"8"
"A Flash of Blue"|"Maria Farrer"|""|""|""|""|""
"Broken Skies"|"Theresa Kay"|"1"|"4"|"3"|"2|5"|"5"
"Skateboards, Magic, and Shamrocks"|"Dana Fraedrich"|""|""|""|""|""
"Seven Ways We Lie"|"Riley Redgate"|"8"|"7"|"9"|"6|8"|"8"
"Bound by Duty"|"Stormy Smith"|""|""|""|""|""
"Catalogue of the Universe"|"Margaret Mahy, Darren Hopes"|""|""|""|""|""
"A Safe Place With You"|"Csar L. Baquerizo"|""|""|""|""|""
"Soul-Mate"|"Anna Santos"|""|""|""|""|""
"On The Earth: Section 2"|"Dr Pradip Rameshbhai Chauhan"|"2"|""|""|""|""
"With Malice"|"Eileen Cook"|"8"|"7"|"9"|"6"|""
"Nerd Of The Year"|"Supraja I.R."|""|""|""|""|""
"The Declaration of Independence -  Complete Series I"|"Joseph Max Lewis, John V. Amodeo, Amber Schamel Lemus, Murray Pura"|""|""|""|""|""
"Remake"|"Ilima Todd"|""|""|""|""|""
"Sword Art Online, Vol. 1: Aincrad"|"Reki Kawahara"|"7"|"8"|"9"|"6|7"|"7"
"Natalie's Choices"|"Linda    Robinson"|""|""|""|""|""
"Prisoners"|"Tui T. Sutherland"|""|""|""|""|""
"Frontier Incursion"|"Leonie Rogers"|""|""|""|""|""
"Loderunner"|"Christina Engela"|""|""|""|""|""
"Being a Witch, and Other Things I Didn't Ask For"|"Sara Pascoe"|""|""|""|""|""
"By Persons Unknown - Canadian Government Conspiracy!"|"Terry Wallice"|""|""|""|""|""
"Ninja Girl"|"Cookie O'Gorman"|""|""|""|""|""
"Blue Bottle Tree"|"Beaird Glover"|""|""|""|""|""
"Intent"|"Krista Wagner"|""|""|""|""|""
"War and Chess"|"Helen M. Pugsley"|""|""|""|""|""
"Sour Heart"|"Jenny Zhang"|"7"|"8"|"9"|"6|5|8|7|9"|"8"
"David's Story"|"Stig Dalager"|""|""|""|""|""
"Six Stories"|"Matt Wesolowski"|"8"|"7"|"9"|"8|9"|"9"
"The Prince with Amnesia"|"Emily  Evans"|""|""|""|""|""
"Elidor"|"Alan Garner"|"1"|"2"|"3"|"4|5"|"5"
"Spellslinger"|"Sebastien de Castell"|"8"|"7"|"9"|"8|7"|"7"
"The Eyes of Kid Midas"|"Neal Shusterman"|"1"|"2"|"3"|"4|5"|"5"
"Ravens Deep"|"Jane  Jordan"|""|""|""|""|""
"Cigarettes & Wine"|"J.E. Sumerau"|""|""|""|""|""
"Everyone Has A Story"|"Savi Sharma"|""|""|""|""|""
"How to Crush Social Media in Only 2 Minutes a Day: Twitter, Facebook, Instagram, Kred, Goodreads, LinkedIn"|"Ndeye Labadens"|"2"|""|""|""|""
"Mixing It"|"Rosemary Hayes"|""|""|""|""|""
"Be Careful What You Joust For"|"Ryan Hauge, Ivy Smoak"|""|""|""|""|""
"The Yearbook Committee"|"Sarah Ayoub"|"8"|"7"|"9"|"6"|""
"Jason"|"Felicity  Jones"|""|""|""|""|""
"The Lost Savior"|"Siobhan Davis"|""|""|""|""|""
"Empire Star"|"Samuel R. Delany"|"3"|"4"|"5"|"2|4"|"4"
"Achieve Anything in Just One Year: Be Inspired Daily to Live Your Dreams and Accomplish Your Goals"|"Jason Harvey"|""|""|""|""|""
"The Heirs of Earth"|"Daniel Arenson"|""|""|""|""|""
"Secret: ...know more"|"Anita S.J."|""|""|""|""|""
"Ocean World Short Story Collection"|"Ian Allan, Ming Wei"|""|""|""|""|""
"Hollow Earth"|"John Barrowman, Carole E. Barrowman"|""|""|""|""|""
"Babysitting The Bad Boy"|"exxxyR"|""|""|""|""|""
"The Rise of the Warrior"|"Dedra L. Stevenson"|""|""|""|""|""
"Beauty's Curse"|"C.S.  Johnson"|""|""|""|""|""
"The Time Between: Love, loyalty and betrayal in Nazi-occupied Amsterdam"|"Bryna Hellmann-Gillson"|""|""|""|""|""
"365 Daily Inspirational & Poetical Quotes of Rodolfo Martin Vitangcol: For the year 2019 [Volume One]"|"Rodolfo Martin Vitangcol"|""|""|""|""|""
"Hot Dog Girl"|"Jennifer Dugan"|"8"|"7"|"9"|"6|7"|"7"
"Jane Anonymous"|"Laurie Faria Stolarz"|"4"|"3"|"5"|"4|2|3|5"|"4"
"Beyond the Job: 30 Ways for Older Teens and Young Adults to Develop Effectively"|"Israelin Shockness"|"30"|""|""|""|""
"The Chronicles Of Agartha"|"Isaac Michaan, Sherif Guirguis"|""|""|""|""|""
"The League of Ascenders: Journey of the Fledglings"|"Spring Dalton, Spring Hellams"|""|""|""|""|""
"School and My Bully Experience"|"Frank Joseph Minichetti"|""|""|""|""|""
"One Positive Thought"|"Kashish Kalita"|""|""|""|""|""
"Lyddie"|"Katherine Paterson"|"1"|"2"|"3"|"4|5"|"5"
"Room 555"|"Cristy Watson"|"555"|""|""|""|""
"Always Red"|"Isabelle Ronin"|""|""|""|""|""
"Apple and Rain"|"Sarah Crossan"|""|""|""|""|""
"The Unbeatable Squirrel Girl, Vol. 1: Squirrel Power"|"Erica Henderson, Ryan North, Maris Wicks, Rico Renzi, Kyle Starks, Wil Moss, Chris Giarrusso"|"9"|"8"|"7"|"8|6"|"6"
"The Mystery of Maple Creek"|"Keefe R.D."|""|""|""|""|""
"Brutal Youth"|"Anthony Breznican"|"8"|"7"|"9"|"6|7"|"7"
"Daughters of Awen: A Battle of Gods and Kingdoms"|"Summer H. Hanford"|""|""|""|""|""
"All of This Is True"|"Lygia Day Peaflor"|"8"|"9"|"7"|"6"|""
"The Sniggard's Revenge: A Fantasy Adventure"|"Jeff  Chapman"|""|""|""|""|""
"Fire of the Blood"|"Jasmina Coric"|""|""|""|""|""
"The Handmaiden of Death"|"Sarah Stafford"|""|""|""|""|""
"Early Departures"|"Justin A. Reynolds"|"8"|"7"|"9"|"9|7"|"7"
"Genius Trilogy boxed set"|"Catherine Jinks"|""|""|""|""|""
"How to be a book lover: 30 Practical steps to reclaim your lost reading passion"|"Sulaiman Algharbi"|"30"|""|""|""|""
"Tsunami Girl"|"Julian Sedgwick, Chie Kutsuwada"|""|""|""|""|""
"The Prince & the Apocalypse"|"Kara McDowell"|""|""|""|""|""
"Caroline's Purpose"|"Erica Zaborac"|""|""|""|""|""
"Ocean's Echo"|"Everina Maxwell"|""|""|""|""|""
"Elatsoe"|"Rovina Cai, Darcie Little Badger"|"1"|"4"|"3"|"5|2"|"2"
"Edin"|"Lily Mayne"|""|""|""|""|""
"Under the Heavens"|"Ruth  Fox"|""|""|""|""|""
"When We Had Wings: The Gripping Story of an Orphan in Janusz Korczak's Orphanage. A Historical Novel"|"Tami Shem-Tov"|""|""|""|""|""
"Selfie"|"Allayne L. Webster"|""|""|""|""|""
"Dance on My Grave"|"Aidan Chambers"|""|""|""|""|""
"Storm Chaser"|"Lindsey Duga"|"1"|"4"|"3"|"2|5"|"5"
"The Piper's Pursuit"|"Melanie Dickerson"|"8"|"7"|"9"|"6|7"|"7"
"Cure For Tmj, Bruxing And Tooth Grinding: Blue Heron Health News"|"Christian G."|""|""|""|""|""
"This Winter"|"Alice Oseman"|""|""|""|""|""
"Magical Boy Volume 1: A Graphic Novel"|"The Kao"|"1"|""|""|""|""
"Spy Camp"|"Stuart Gibbs"|"7"|"8"|"6"|"9|7"|"7"
"Lights, Camera, Disaster"|"Erin Dionne"|""|""|""|""|""
"A Thousand Steps into Night"|"Traci Chee"|""|""|""|""|""
"Searching for A Starry Night"|"Christine Verstraete"|""|""|""|""|""
"Artichoke's Heart"|"Suzanne Supplee"|"1"|"2"|"3"|"4|5"|"5"
"Night Calls"|"Katharine Eliska Kimbriel"|""|""|""|""|""
"But We Are Not of Earth"|"Jean E. Karl"|""|""|""|""|""
"My Life in Dog Years"|"Gary Paulsen"|"7"|"8"|"9"|"6|7|8|9"|"8"
"The Duplicate"|"William Sleator"|""|""|""|""|""
"Jake, Reinvented"|"Gordon Korman"|"1"|"2"|"3"|"4|5"|"5"
"Almost Astronauts: 13 Women Who Dared to Dream"|"Tanya Lee Stone, Margaret A. Weitekamp"|"1"|"2"|"3"|"4|5"|"5"
"Stepping on the Cracks"|"Mary Downing Hahn"|"8"|"7"|"6"|"9"|""
"Rock Paper Tiger"|"Lisa Brackman, Lisa Brackmann"|"7"|"8"|"6"|"9|5"|"5"
"As the Waltz Was Ending"|"Emma Macalik Butterworth"|""|""|""|""|""
"Quest for the Simurgh - Faizah's Destiny"|"Marva Dasef"|""|""|""|""|""
"Anonymity Jones"|"James Roy"|""|""|""|""|""
"A Blood Moon"|"Bitten Twice"|"1"|"4"|"3"|"5|2"|"2"
"The Art of French Kissing"|"Kristin Harmel"|"7"|"8"|"6"|"9|5"|"5"
"In Between"|"Jenny B. Jones"|"1"|"4"|"3"|"5|2"|"2"
"Desire Everlasting"|"Karen Fuller"|""|""|""|""|""
"Compromise of the Soul"|"Lissette E. Manning"|""|""|""|""|""
"Drawing the Circle"|"Jason Beineke"|""|""|""|""|""
"Nobody's Girl"|"Sarra Manning"|"3"|"4"|"5"|"2|4|3|5"|"4"
"Million-Dollar Throw"|"Mike Lupica"|"8"|"7"|"7"|"6|8"|"8"
"Bitterroot Crossing"|"Tess Oliver"|""|""|""|""|""
"The Adventures of Anna of Waverly Manor"|"Jack Sorenson"|""|""|""|""|""
"Vissi d'arte - Love and Music"|"Joanna Stephen-Ward"|""|""|""|""|""
"A Proscriptive Relationship"|"Jordan Lynde"|""|""|""|""|""
"After the Fog"|"Kathleen Shoop"|"1"|"2"|"3"|"4|5"|"5"
"The Book of Pirates"|"Howard Pyle"|"9"|"8"|"7"|"6|8"|"8"
"Leaf by Niggle"|"J.R.R. Tolkien"|"1"|"9"|"7"|"8|5"|"5"
"Sara's Face"|"Melvin Burgess"|""|""|""|""|""
"Manhood"|"Steve Biddulph"|""|""|""|""|""
"The Blessed"|"Tonya Hurley"|""|""|""|""|""
"King of the Screwups"|"K.L. Going"|""|""|""|""|""
"Haunting Thelma Thimblewhistle"|"Solomon J. Inkwell, Fiction Factory Incorporated"|""|""|""|""|""
"Awake in the Mad World"|"Damon Ferrell Marbut"|""|""|""|""|""
"Sky Song"|"Sharon Sant"|""|""|""|""|""
"Han Solo at Stars' End"|"Brian Daley"|""|""|""|""|""
"Demons Not Included"|"Cheyenne McCray"|""|""|""|""|""
"The Tamarack Tree"|"Patricia Clapp"|""|""|""|""|""
"25 Stories of Life and Love in Australia"|"Margaret Lynette Sharp"|"25"|""|""|""|""
"Darius and the Vanilla Funk"|"Phil Wohl"|""|""|""|""|""
"Octavian's Undoing"|"Airicka Phoenix"|""|""|""|""|""
"Nerdlandia"|"Gary Soto"|""|""|""|""|""
"The Story Girl"|"L.M. Montgomery"|"1"|"4"|"5"|"3|2|4|5"|"5"
"Ghostlight"|"Marion Zimmer Bradley"|""|""|""|""|""
"The Hunter's Code"|"Sean Tiffany, Jake Maddox"|"8"|"7"|"9"|"6|5"|"5"
"The Last Convertible"|"Anton Myrer"|"8"|"7"|"9"|"6|7"|"7"
"A Faerie Fated Forever"|"Mary Anne Graham"|""|""|""|""|""
"Bone House"|"Betsy Tobin"|""|""|""|""|""
"100 Days and 99 Nights"|"Alan Madison"|""|""|""|""|""
"Aire"|"Lena Goldfinch"|""|""|""|""|""
"Neighbours + Playschool"|"Colin Thompson"|""|""|""|""|""
"Post Omerican Easter"|"Ilyan Kei Lavanway"|""|""|""|""|""
"Arcana"|"Jessica Leake"|""|""|""|""|""
"Narcissus Resists"|"Matthew Hittinger"|""|""|""|""|""
"Racing in the Rain: My Life as a Dog"|"Garth Stein"|"7"|"9"|"8"|"6|5"|"5"
"The Sea Wall"|"Herma Briffault, Marguerite Duras"|""|""|""|""|""
"Cathy's Book"|"Sean Stewart, Jordan K. Weisman, Cathy Brigg"|"1"|"2"|"3"|"4|5"|"5"
"Killer of Enemies"|"Joseph Bruchac"|"1"|"4"|"3"|"2|5"|"5"
"In This Moment"|"Autumn Doughton"|""|""|""|""|""
"The House of a Million Pets"|"Ann Hodgman, Eugene Yelchin"|"1"|"3"|"4"|"2|5"|"5"
"A and D"|"Louisse Carreon"|""|""|""|""|""
"Under a Blood Moon"|"Carrigan Richards"|""|""|""|""|""
"Where Did I Come From?"|"Pam Funke"|""|""|""|""|""
"Mystery at Shadow Lake"|"B.L. Hoffman"|""|""|""|""|""
"So Far from Skye"|"Judith O'Neill"|""|""|""|""|""
"The Medium"|"C.J. Archer"|"8"|"7"|"9"|"6|8"|"8"
"Maleficent"|"Scott A. Piehl, Elizabeth Rudnick"|""|""|""|""|""
"This is Falling"|"Ginger Scott"|"8"|"7"|"9"|"9"|""
"The Word Changers"|"Ashlee Willis"|""|""|""|""|""
"Rumble"|"Ellen Hopkins"|"1"|"2"|"3"|"4|5"|"5"
"Racing the Moon"|"Michelle  Morgan"|""|""|""|""|""
"She's My Ride Home"|"Jackie Bushore"|""|""|""|""|""
"Joshua's Island"|"Patrick Hodges"|""|""|""|""|""
"Asgard Stories: Tales from Norse Mythology"|"Mary H. Foster"|""|""|""|""|""
"Curious Incident of the Dog in the Nightdress"|"Paul        Howard, Ross O'Carroll-Kelly"|""|""|""|""|""
"All Time High"|"Paul Camster"|""|""|""|""|""
"Destiny's Consent: The Gypsy's Song"|"Laura Shepard Townsend"|""|""|""|""|""
"Waiting: A Nonbeliever's Higher Power"|"Marya Hornbacher"|""|""|""|""|""
"Why True Love Waits: The Definitive Book on How to Help Your Kids Resist Sexual Pressure"|"Josh McDowell"|"1"|"8"|"7"|"5|9|6|4|3|2"|"2"
"Sweet Tea"|"Sonya Ray"|""|""|""|""|""
"If I Could Be Like Jennifer Taylor"|"Barbara Ehrentreu"|""|""|""|""|""
"Tesseracts Fifteen: A Case of Quite Curious Tales"|"Susan MacGregor, Julie E. Czerneda"|""|""|""|""|""
"The Last Summer of Us"|"Maggie Harcourt"|"8"|"7"|"9"|"8|7"|"7"
"A Book of Spirits and Thieves"|"Morgan Rhodes"|"1"|"4"|"3"|"5|2"|"2"
"Connected"|"Kat Stiles"|""|""|""|""|""
"The Steps Up the Chimney"|"William Corlett"|""|""|""|""|""
"Starfish Girl"|"Athena Villaverde"|""|""|""|""|""
"The Empath, the Warrior & the Wind Rider"|"Jeff Fuell"|""|""|""|""|""
"Three Hearts and Three Lions"|"Poul Anderson"|"8"|"7"|"6"|"9"|""
"She Is Not Invisible"|"Sedgwick Marcus"|""|""|""|""|""
"Second Chance"|"Jane Green"|"8"|"7"|"9"|"6|7"|"7"
"It All Started With An Apple"|"Ashley Winters"|""|""|""|""|""
"Artificial Absolutes"|"Mary Fan"|""|""|""|""|""
"Brian Boru - Freedom Within The Heart"|"Mark Mahon"|""|""|""|""|""
"South of Sunshine"|"Dana Elmendorf"|"3"|"4"|"2"|"5|3"|"3"
"I Witness: Hard Gold: The Colorado Gold Rush of 1859: A Tale of the Old West"|"Avi"|"1859"|""|""|""|""
"Saven Deception"|"Siobhan Davis"|""|""|""|""|""
"Road Trip to Love"|"Nylla Camphry"|""|""|""|""|""
"The Five Languages of Apology: The Five Languages of Apology: How to Experience Healing in All Your Relationships"|"Jennifer Thomas, Gary Chapman"|"7"|"8"|"9"|"6|7"|"7"
"Bright Smoke, Cold Fire"|"Rosamund Hodge"|"7"|"8"|"6"|"9|5"|"5"
"Fern Verdant and the Silver Rose"|"Diana Leszczynski"|""|""|""|""|""
"Bravo Two-zero"|"Andy McNab"|"7"|"8"|"9"|"6|5|7|8|9"|"8"
"The In-between Stage (Ever-Presence, #1)."|"Katelin M. Ballinger"|"1"|""|""|""|""
"You Know Me Well"|"David Levithan, Nina LaCour"|"1"|"2"|"3"|"4|5|3|2|1"|"5"
"Spies"|"Michael Frayn"|""|""|""|""|""
"The Third Witch"|"Rebecca Reisert"|"1"|"2"|"3"|"4|5"|"5"
"Thomas Jefferson"|"Murray Pura"|""|""|""|""|""
"The Twistrose Key"|"Tone Almhjell, Ian Schoenherr"|"1"|"4"|"3"|"5|2"|"2"
"The Terrible Thing That Happened to Barnaby Brocket"|"John Boyne, Oliver Jeffers"|"1"|"2"|"3"|"4|5"|"5"
"A Wild and Unremarkable Thing"|"Jen Castleberry"|"1"|"4"|"3"|"5|2"|"2"
"Erik and the Gods: Journey to Valhalla"|"Lars-Henrik Olsen"|""|""|""|""|""
"Life-Changing Love"|"Theresa Linden"|""|""|""|""|""
"Paranormal Oddities & Government Conspiracies"|"Katie Christopher"|""|""|""|""|""
"A Sibling in Always"|"Ernest Gordon Taulbee"|""|""|""|""|""
"The Hitch Hiker's Guide to the Galaxy: A Trilogy in Five Parts"|"Douglas Adams"|"9"|"8"|"9"|"9|7"|"7"
"The Party"|"Robyn Harding"|"7"|"8"|"6"|"9|5"|"5"
"Shadow Fall"|"Audrey  Grey"|""|""|""|""|""
"Deliver Her"|"Patricia Perry Donovan"|""|""|""|""|""
"Three Blind Dates"|"Meghan Quinn"|""|""|""|""|""
